Tank number,Treatment Temperature,Treatment pCO2,Measurement date,Temp [degC],QF,Sal [dimensionless],QF,pH,QF,TA [umol kg-1],QF,Nitrite [uM],QC,Nitrate [uM],QC,Ammonium [uM],QC,Silicate [uM],QC,Phosphate [uM],QC,DIC [umol kg-1],QC,pCO2(sw) [uatm],QC,Omega Cal,QC,Omega Arag,QC,HCO3- [umol kg-1],QC,CO32- [umol kg-1],QC,CO2 [umol kg-1],QC
1.1,380,Amb,14/02/2011,11.33,1,34.18,1,7.975,1,2131,1,0.51,1,19.24,1,9.72,1,9.81,1,0.93,1,2019.2,3,589.6,3,2.13,3,1.36,3,1905.4,3,89,3,24.8,3
2.5,380,Amb,14/02/2011,11.33,1,34.18,1,7.975,1,2131,2,0.3,1,17.92,1,7.69,1,8.25,1,0.22,1,2019.9,3,589.8,3,2.13,3,1.36,3,1906.1,3,89,3,24.8,3
3.3,380,Amb,14/02/2011,11.33,1,34.18,1,7.975,1,2131,2,0.23,1,9.04,1,13.58,1,5.42,1,0.93,1,2019.3,3,589.6,3,2.13,3,1.36,3,1905.5,3,89,3,24.8,3
4.2,380,Amb,14/02/2011,11.33,1,34.18,1,7.975,1,2131,2,0.22,1,7.31,1,11.25,1,5.56,1,0.62,1,2019.6,3,589.7,3,2.13,3,1.36,3,1905.8,3,89,3,24.8,3
1.1,380,Amb,21/02/2011,11.48,1,34.13,1,7.975,1,2131,2,1.84,1,22.83,1,21.2,1,7.78,1,1.6,1,2018.1,3,590.5,3,2.14,3,1.36,3,1904.2,3,89.2,3,24.7,3
1.1,380,Amb,28/02/2011,10.58,1,34.23,1,8.095,1,2131,2,5.72,1,28.35,1,25.62,1,6.58,1,2.05,1,1977.9,3,429.8,3,2.66,3,1.69,3,1848.4,3,111,3,18.5,3
1.1,380,Amb,07/03/2011,10.88,1,34.33,1,7.993,1,2131,2,16.76,1,39.79,1,23.9,1,6.94,1,2.41,1,2012.9,3,559.8,3,2.18,3,1.39,3,1897.7,3,91.3,3,23.9,3
2.5,380,Amb,07/03/2011,10.88,1,34.33,1,7.993,1,2131,2,2.24,1,25.06,1,20.74,1,6.66,1,1.03,1,2014.3,3,560.2,3,2.18,3,1.39,3,1899.1,3,91.3,3,23.9,3
3.3,380,Amb,07/03/2011,10.88,1,34.33,1,7.993,1,2131,2,9.86,1,34.02,1,40.09,1,4.72,1,3.37,1,2012,3,559.5,3,2.18,3,1.39,3,1896.9,3,91.2,3,23.9,3
4.2,380,Amb,07/03/2011,10.88,1,34.33,1,7.993,1,2131,2,6.25,1,21.16,1,42.6,1,5.97,1,1.96,1,2013.4,3,559.9,3,2.18,3,1.39,3,1898.2,3,91.3,3,23.9,3
